white,black,whiteScore,blackScore,result,plies
Glorious-Orca-Swindle,Astute-Zergling,0.00,1.00,BLACK_WON,140
Astute-Zergling,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,48
Glorious-Orca-Swindle,Astute-Zergling,0.50,0.50,DRAW,163
Astute-Zergling,Glorious-Orca-Swindle,0.50,0.50,DRAW,195
Glorious-Orca-Swindle,Astute-Zergling,0.50,0.50,DRAW,146
Astute-Zergling,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,92
Glorious-Orca-Swindle,Astute-Zergling,0.50,0.50,DRAW,256
Astute-Zergling,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,101
Glorious-Orca-Swindle,Astute-Zergling,1.00,0.00,WHITE_WON,73
Astute-Zergling,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,116
Glorious-Orca-Swindle,Ruthless-Squid,0.50,0.50,DRAW,112
Ruthless-Squid,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,151
Glorious-Orca-Swindle,Ruthless-Squid,1.00,0.00,WHITE_WON,137
Ruthless-Squid,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,68
Glorious-Orca-Swindle,Ruthless-Squid,1.00,0.00,WHITE_WON,91
Ruthless-Squid,Glorious-Orca-Swindle,0.50,0.50,DRAW,49
Glorious-Orca-Swindle,Ruthless-Squid,0.00,1.00,BLACK_WON,78
Ruthless-Squid,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,46
Glorious-Orca-Swindle,Ruthless-Squid,1.00,0.00,WHITE_WON,85
Ruthless-Squid,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,64
Glorious-Orca-Swindle,Rebellious-Sloth,1.00,0.00,WHITE_WON,85
Rebellious-Sloth,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,83
Glorious-Orca-Swindle,Rebellious-Sloth,0.50,0.50,DRAW,88
Rebellious-Sloth,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,59
Glorious-Orca-Swindle,Rebellious-Sloth,1.00,0.00,WHITE_WON,57
Rebellious-Sloth,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,63
Glorious-Orca-Swindle,Rebellious-Sloth,1.00,0.00,WHITE_WON,85
Rebellious-Sloth,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,75
Glorious-Orca-Swindle,Rebellious-Sloth,1.00,0.00,WHITE_WON,97
Rebellious-Sloth,Glorious-Orca-Swindle,0.50,0.50,DRAW,279
Glorious-Orca-Swindle,Heroic-Swan-Initiation,0.50,0.50,DRAW,222
Heroic-Swan-Initiation,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,57
Glorious-Orca-Swindle,Heroic-Swan-Initiation,0.50,0.50,DRAW,82
Heroic-Swan-Initiation,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,112
Glorious-Orca-Swindle,Heroic-Swan-Initiation,1.00,0.00,WHITE_WON,59
Heroic-Swan-Initiation,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,91
Glorious-Orca-Swindle,Heroic-Swan-Initiation,0.50,0.50,DRAW,58
Heroic-Swan-Initiation,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,71
Glorious-Orca-Swindle,Heroic-Swan-Initiation,1.00,0.00,WHITE_WON,69
Heroic-Swan-Initiation,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,51
Glorious-Orca-Swindle,Tactical-Hydra,1.00,0.00,WHITE_WON,69
Tactical-Hydra,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,160
Glorious-Orca-Swindle,Tactical-Hydra,1.00,0.00,WHITE_WON,69
Tactical-Hydra,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,45
Glorious-Orca-Swindle,Tactical-Hydra,1.00,0.00,WHITE_WON,97
Tactical-Hydra,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,118
Glorious-Orca-Swindle,Tactical-Hydra,1.00,0.00,WHITE_WON,55
Tactical-Hydra,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,131
Glorious-Orca-Swindle,Tactical-Hydra,1.00,0.00,WHITE_WON,79
Tactical-Hydra,Glorious-Orca-Swindle,0.50,0.50,DRAW,124
Glorious-Orca-Swindle,Sassy-Mole-Raze,1.00,0.00,WHITE_WON,77
Sassy-Mole-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,79
Glorious-Orca-Swindle,Sassy-Mole-Raze,1.00,0.00,WHITE_WON,83
Sassy-Mole-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,53
Glorious-Orca-Swindle,Sassy-Mole-Raze,1.00,0.00,WHITE_WON,73
Sassy-Mole-Raze,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,64
Glorious-Orca-Swindle,Sassy-Mole-Raze,1.00,0.00,WHITE_WON,57
Sassy-Mole-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,85
Glorious-Orca-Swindle,Sassy-Mole-Raze,1.00,0.00,WHITE_WON,75
Sassy-Mole-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,61
Glorious-Orca-Swindle,Gallant-Frog,1.00,0.00,WHITE_WON,73
Gallant-Frog,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,77
Glorious-Orca-Swindle,Gallant-Frog,0.50,0.50,DRAW,58
Gallant-Frog,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,71
Glorious-Orca-Swindle,Gallant-Frog,1.00,0.00,WHITE_WON,145
Gallant-Frog,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,98
Glorious-Orca-Swindle,Gallant-Frog,1.00,0.00,WHITE_WON,77
Gallant-Frog,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,79
Glorious-Orca-Swindle,Gallant-Frog,1.00,0.00,WHITE_WON,69
Gallant-Frog,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,65
Glorious-Orca-Swindle,Wise-Lynx-Squeeze,1.00,0.00,WHITE_WON,117
Wise-Lynx-Squeeze,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,138
Glorious-Orca-Swindle,Wise-Lynx-Squeeze,1.00,0.00,WHITE_WON,55
Wise-Lynx-Squeeze,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,20
Glorious-Orca-Swindle,Wise-Lynx-Squeeze,1.00,0.00,WHITE_WON,135
Wise-Lynx-Squeeze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,27
Glorious-Orca-Swindle,Wise-Lynx-Squeeze,1.00,0.00,WHITE_WON,115
Wise-Lynx-Squeeze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,79
Glorious-Orca-Swindle,Wise-Lynx-Squeeze,1.00,0.00,WHITE_WON,53
Wise-Lynx-Squeeze,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,102
Glorious-Orca-Swindle,Stoic-Gorilla-Interference,1.00,0.00,WHITE_WON,79
Stoic-Gorilla-Interference,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,89
Glorious-Orca-Swindle,Stoic-Gorilla-Interference,0.50,0.50,DRAW,110
Stoic-Gorilla-Interference,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,127
Glorious-Orca-Swindle,Stoic-Gorilla-Interference,0.50,0.50,DRAW,116
Stoic-Gorilla-Interference,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,83
Glorious-Orca-Swindle,Stoic-Gorilla-Interference,0.50,0.50,DRAW,155
Stoic-Gorilla-Interference,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,132
Glorious-Orca-Swindle,Stoic-Gorilla-Interference,1.00,0.00,WHITE_WON,135
Stoic-Gorilla-Interference,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,101
Glorious-Orca-Swindle,Bold-Phoenix-Raze,1.00,0.00,WHITE_WON,69
Bold-Phoenix-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,63
Glorious-Orca-Swindle,Bold-Phoenix-Raze,1.00,0.00,WHITE_WON,93
Bold-Phoenix-Raze,Glorious-Orca-Swindle,0.50,0.50,DRAW,147
Glorious-Orca-Swindle,Bold-Phoenix-Raze,1.00,0.00,WHITE_WON,139
Bold-Phoenix-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,75
Glorious-Orca-Swindle,Bold-Phoenix-Raze,1.00,0.00,WHITE_WON,35
Bold-Phoenix-Raze,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,124
Glorious-Orca-Swindle,Bold-Phoenix-Raze,1.00,0.00,WHITE_WON,77
Bold-Phoenix-Raze,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,113
Glorious-Orca-Swindle,Cunning-Minotaur,0.00,1.00,BLACK_WON,78
Cunning-Minotaur,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,66
Glorious-Orca-Swindle,Cunning-Minotaur,1.00,0.00,WHITE_WON,67
Cunning-Minotaur,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,142
Glorious-Orca-Swindle,Cunning-Minotaur,1.00,0.00,WHITE_WON,71
Cunning-Minotaur,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,111
Glorious-Orca-Swindle,Cunning-Minotaur,1.00,0.00,WHITE_WON,83
Cunning-Minotaur,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,84
Glorious-Orca-Swindle,Cunning-Minotaur,1.00,0.00,WHITE_WON,77
Cunning-Minotaur,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,178
Glorious-Orca-Swindle,Feral-Wolverine-Switch,0.00,1.00,BLACK_WON,82
Feral-Wolverine-Switch,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,97
Glorious-Orca-Swindle,Feral-Wolverine-Switch,0.00,1.00,BLACK_WON,114
Feral-Wolverine-Switch,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,84
Glorious-Orca-Swindle,Feral-Wolverine-Switch,1.00,0.00,WHITE_WON,69
Feral-Wolverine-Switch,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,60
Glorious-Orca-Swindle,Feral-Wolverine-Switch,1.00,0.00,WHITE_WON,43
Feral-Wolverine-Switch,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,60
Glorious-Orca-Swindle,Feral-Wolverine-Switch,1.00,0.00,WHITE_WON,77
Feral-Wolverine-Switch,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,63
Glorious-Orca-Swindle,Young-Basilisk,1.00,0.00,WHITE_WON,89
Young-Basilisk,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,49
Glorious-Orca-Swindle,Young-Basilisk,1.00,0.00,WHITE_WON,127
Young-Basilisk,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,75
Glorious-Orca-Swindle,Young-Basilisk,0.00,1.00,BLACK_WON,88
Young-Basilisk,Glorious-Orca-Swindle,0.50,0.50,DRAW,64
Glorious-Orca-Swindle,Young-Basilisk,1.00,0.00,WHITE_WON,259
Young-Basilisk,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,150
Glorious-Orca-Swindle,Young-Basilisk,0.50,0.50,DRAW,145
Young-Basilisk,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,114
Glorious-Orca-Swindle,Vibrant-Hippogriff-MatingNet,1.00,0.00,WHITE_WON,43
Vibrant-Hippogriff-MatingNet,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,83
Glorious-Orca-Swindle,Vibrant-Hippogriff-MatingNet,0.00,1.00,BLACK_WON,156
Vibrant-Hippogriff-MatingNet,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,83
Glorious-Orca-Swindle,Vibrant-Hippogriff-MatingNet,1.00,0.00,WHITE_WON,47
Vibrant-Hippogriff-MatingNet,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,105
Glorious-Orca-Swindle,Vibrant-Hippogriff-MatingNet,1.00,0.00,WHITE_WON,69
Vibrant-Hippogriff-MatingNet,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,93
Glorious-Orca-Swindle,Vibrant-Hippogriff-MatingNet,0.50,0.50,DRAW,342
Vibrant-Hippogriff-MatingNet,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,134
Glorious-Orca-Swindle,Blazing-Scorpion-Simplification,1.00,0.00,WHITE_WON,75
Blazing-Scorpion-Simplification,Glorious-Orca-Swindle,0.50,0.50,DRAW,67
Glorious-Orca-Swindle,Blazing-Scorpion-Simplification,0.00,1.00,BLACK_WON,74
Blazing-Scorpion-Simplification,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,149
Glorious-Orca-Swindle,Blazing-Scorpion-Simplification,1.00,0.00,WHITE_WON,79
Blazing-Scorpion-Simplification,Glorious-Orca-Swindle,0.00,1.00,BLACK_WON,70
Glorious-Orca-Swindle,Blazing-Scorpion-Simplification,0.50,0.50,DRAW,26
Blazing-Scorpion-Simplification,Glorious-Orca-Swindle,0.50,0.50,DRAW,267
Glorious-Orca-Swindle,Blazing-Scorpion-Simplification,1.00,0.00,WHITE_WON,77
Blazing-Scorpion-Simplification,Glorious-Orca-Swindle,1.00,0.00,WHITE_WON,49
Astute-Zergling,Ruthless-Squid,1.00,0.00,WHITE_WON,133
Ruthless-Squid,Astute-Zergling,1.00,0.00,WHITE_WON,83
Astute-Zergling,Ruthless-Squid,0.00,1.00,BLACK_WON,64
Ruthless-Squid,Astute-Zergling,0.50,0.50,DRAW,154
Astute-Zergling,Ruthless-Squid,1.00,0.00,WHITE_WON,67
